,上價,下價,中價,交易日期,交易量,作物代號,作物名稱,市場代號,市場名稱,平均價,Weekday
5,30.0,18.0,24.0,102.01.18,1964.0,LA1,甘藍-初秋,540,南投市,23.3,4
6,29.0,20.1,23.7,102.01.18,26192.0,LA1,甘藍-初秋,800,高雄市,24.0,4
7,26.2,6.7,17.5,102.01.18,4070.0,LA1,甘藍-初秋,830,鳳山市,17.08,4
8,24.5,13.2,19.5,102.01.18,8254.0,LA1,甘藍-初秋,900,屏東市,19.2,4
0,25.2,13.7,18.8,102.01.19,78327.0,LA1,甘藍-初秋,104,台北二,19.1,5
1,25.2,15.7,20.6,102.01.19,198907.0,LA1,甘藍-初秋,109,台北一,20.6,5
2,24.7,14.0,20.6,102.01.19,14783.0,LA1,甘藍-初秋,241,三重市,20.1,5
3,25.0,14.4,19.9,102.01.19,15956.0,LA1,甘藍-初秋,400,台中市,19.6,5
4,26.0,10.0,17.0,102.01.19,17600.0,LA1,甘藍-初秋,512,永靖鄉,17.2,5
5,26.0,17.0,23.0,102.01.19,16740.0,LA1,甘藍-初秋,514,溪湖鎮,23.0,5
6,29.0,19.0,25.0,102.01.19,1363.0,LA1,甘藍-初秋,540,南投市,24.1,5
7,29.7,18.1,22.7,102.01.19,25711.0,LA1,甘藍-初秋,800,高雄市,23.2,5
8,24.4,12.3,17.4,102.01.19,13120.0,LA1,甘藍-初秋,830,鳳山市,17.77,5
9,24.1,14.2,19.8,102.01.19,9910.0,LA1,甘藍-初秋,900,屏東市,19.5,5
0,26.9,16.3,22.1,102.01.20,54661.0,LA1,甘藍-初秋,104,台北二,21.9,6
1,24.2,13.7,18.9,102.01.20,189327.0,LA1,甘藍-初秋,109,台北一,18.9,6
2,22.5,14.6,18.8,102.01.20,13093.0,LA1,甘藍-初秋,241,三重市,18.7,6
3,26.1,16.4,21.1,102.01.20,17235.0,LA1,甘藍-初秋,400,台中市,20.3,6
4,26.0,18.0,22.5,102.01.20,9880.0,LA1,甘藍-初秋,514,溪湖鎮,22.5,6
5,26.0,11.0,22.0,102.01.20,2711.0,LA1,甘藍-初秋,540,南投市,21.13,6
6,28.8,19.0,23.1,102.01.20,23845.0,LA1,甘藍-初秋,800,高雄市,23.4,6
7,24.5,14.0,17.8,102.01.20,11230.0,LA1,甘藍-初秋,830,鳳山市,18.38,6
8,24.3,14.7,19.2,102.01.20,11374.0,LA1,甘藍-初秋,900,屏東市,19.3,6
0,26.0,13.0,17.5,102.01.21,13535.0,LA1,甘藍-初秋,512,永靖鄉,17.4,0
1,26.0,18.0,22.0,102.01.21,8870.0,LA1,甘藍-初秋,514,溪湖鎮,22.0,0
0,28.2,16.9,21.9,102.01.22,66659.0,LA1,甘藍-初秋,104,台北二,22.2,1
1,22.7,12.8,18.5,102.01.22,195632.0,LA1,甘藍-初秋,109,台北一,18.2,1
2,22.9,13.7,20.2,102.01.22,15019.0,LA1,甘藍-初秋,241,三重市,19.4,1
3,25.3,14.5,20.1,102.01.22,16759.0,LA1,甘藍-初秋,400,台中市,19.4,1
4,26.0,17.0,21.5,102.01.22,14660.0,LA1,甘藍-初秋,514,溪湖鎮,21.5,1
5,37.0,18.0,29.0,102.01.22,923.0,LA1,甘藍-初秋,540,南投市,28.21,1
6,25.3,17.4,21.0,102.01.22,28635.0,LA1,甘藍-初秋,800,高雄市,21.2,1
7,24.5,13.9,17.9,102.01.22,12080.0,LA1,甘藍-初秋,830,鳳山市,18.4,1
8,24.6,14.0,20.0,102.01.22,11415.0,LA1,甘藍-初秋,900,屏東市,19.7,1
0,24.8,12.8,17.9,102.01.23,73969.0,LA1,甘藍-初秋,104,台北二,18.3,2
1,22.9,10.9,16.9,102.01.23,174369.0,LA1,甘藍-初秋,109,台北一,16.9,2
2,22.1,12.9,17.3,102.01.23,16183.0,LA1,甘藍-初秋,241,三重市,17.4,2
3,19.3,15.8,17.6,102.01.23,6504.0,LA1,甘藍-初秋,338,桃園縣,17.6,2
4,24.5,13.8,19.4,102.01.23,15030.0,LA1,甘藍-初秋,400,台中市,18.7,2
5,35.0,26.0,28.0,102.01.23,1046.0,LA1,甘藍-初秋,540,南投市,27.84,2
6,24.2,16.1,20.5,102.01.23,27081.0,LA1,甘藍-初秋,800,高雄市,20.3,2
7,24.4,13.5,18.1,102.01.23,12964.0,LA1,甘藍-初秋,830,鳳山市,18.42,2
8,24.0,11.5,17.6,102.01.23,12510.0,LA1,甘藍-初秋,900,屏東市,17.6,2
0,21.8,7.4,14.1,102.01.24,84289.0,LA1,甘藍-初秋,104,台北二,14.3,3
1,20.5,10.2,15.4,102.01.24,210213.0,LA1,甘藍-初秋,109,台北一,15.4,3
2,14.9,8.4,12.3,102.01.24,21538.0,LA1,甘藍-初秋,241,三重市,12.0,3
3,17.8,13.3,15.8,102.01.24,5091.0,LA1,甘藍-初秋,338,桃園縣,15.8,3
4,22.2,9.5,17.4,102.01.24,17079.0,LA1,甘藍-初秋,400,台中市,15.8,3
5,24.0,16.0,20.0,102.01.24,13690.0,LA1,甘藍-初秋,514,溪湖鎮,20.0,3
6,34.0,19.0,24.0,102.01.24,1241.0,LA1,甘藍-初秋,540,南投市,23.12,3
7,23.0,13.6,18.2,102.01.24,31161.0,LA1,甘藍-初秋,800,高雄市,18.2,3
8,23.9,10.6,15.6,102.01.24,17830.0,LA1,甘藍-初秋,830,鳳山市,16.25,3
9,22.1,6.7,14.3,102.01.24,15077.0,LA1,甘藍-初秋,900,屏東市,14.4,3
0,18.9,9.7,14.8,102.01.25,59561.0,LA1,甘藍-初秋,104,台北二,14.6,4
1,18.8,10.1,14.0,102.01.25,176600.0,LA1,甘藍-初秋,109,台北一,14.2,4
2,14.9,6.4,11.2,102.01.25,16651.0,LA1,甘藍-初秋,241,三重市,11.0,4
3,15.0,12.0,14.1,102.01.25,1425.0,LA1,甘藍-初秋,338,桃園縣,14.1,4
4,24.1,11.1,17.5,102.01.25,15149.0,LA1,甘藍-初秋,400,台中市,17.3,4
5,20.0,11.0,16.0,102.01.25,13306.0,LA1,甘藍-初秋,512,永靖鄉,15.9,4
6,22.0,15.0,19.0,102.01.25,15330.0,LA1,甘藍-初秋,514,溪湖鎮,19.0,4
7,30.0,15.0,23.0,102.01.25,1409.0,LA1,甘藍-初秋,540,南投市,22.16,4
8,23.1,13.9,18.1,102.01.25,24587.0,LA1,甘藍-初秋,800,高雄市,18.3,4
9,19.6,7.0,10.7,102.01.25,15512.0,LA1,甘藍-初秋,830,鳳山市,11.74,4
10,20.1,7.8,15.8,102.01.25,10960.0,LA1,甘藍-初秋,900,屏東市,15.1,4
0,20.3,13.7,16.6,102.01.26,59147.0,LA1,甘藍-初秋,104,台北二,16.8,5
1,16.7,11.3,14.4,102.01.26,192872.0,LA1,甘藍-初秋,109,台北一,14.2,5
2,15.0,9.2,11.6,102.01.26,18323.0,LA1,甘藍-初秋,241,三重市,11.8,5
3,23.6,10.3,15.3,102.01.26,19680.0,LA1,甘藍-初秋,400,台中市,15.9,5
4,21.0,15.0,18.5,102.01.26,18980.0,LA1,甘藍-初秋,514,溪湖鎮,18.5,5
5,25.0,10.0,19.0,102.01.26,2217.0,LA1,甘藍-初秋,540,南投市,18.7,5
6,21.9,7.6,15.6,102.01.26,42551.0,LA1,甘藍-初秋,800,高雄市,15.2,5
7,20.1,7.0,10.9,102.01.26,21158.0,LA1,甘藍-初秋,830,鳳山市,11.94,5
8,20.2,9.9,16.7,102.01.26,11871.0,LA1,甘藍-初秋,900,屏東市,16.0,5
0,18.7,11.2,15.9,102.01.27,67211.0,LA1,甘藍-初秋,104,台北二,15.5,6
1,18.0,10.0,13.8,102.01.27,194157.0,LA1,甘藍-初秋,109,台北一,13.9,6
2,18.3,11.9,14.9,102.01.27,9957.0,LA1,甘藍-初秋,241,三重市,15.0,6
3,21.7,10.4,14.4,102.01.27,20456.0,LA1,甘藍-初秋,400,台中市,15.0,6
4,21.0,15.0,19.0,102.01.27,1725.0,LA1,甘藍-初秋,540,南投市,18.26,6
